preprocessed,label
tell u call claim prize u enter ur mobile personal detail prompt careful,1
wait till end march el nino get oh,0
thk gotta go home urself co ill b going shopping frens present,0
wait minstand bus stop,0
thanks loving rock,0
ok also wan watch e pm show,0
great shoot big load get ready,0
good morning dear great amp successful day,0
real baby want bring inner tigress,0
guaranteed award maybe even cash claim ur award call free legitimat efreefone number wat u think,1
okey dokey swashbuckling stuff oh,0
bring tat cd forget,0
oops mum somerset bit far back tomo see soon x,0
sorry ill call later,0
let ur heart ur compass ur mind ur map ur soul ur guide u never loose worldgnun sent via waysmscom,0
january male sale hot gay chat cheaper call national rate pmin cheap pmin peak stop text call pmin,1
urgent trying contact last weekend draw show prize guaranteed call claim code valid hr,1
well done england get official poly ringtone colour flag yer mobile text tone flag optout txt eng stop box wwx,1
studying ill free next weekend,0
hello boytoy made home constant thought love hope nice visit cant wait till come home kiss,0
daddy take good care,0
smsservices yourinclusive text credit pls goto wwwcomuknet login qxj unsubscribe stop extra charge help comuk cm ae,1
hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x callsminmobsmorelkpoboxhpfl,1
alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx,0
oic better quickly go bathe n settle,0
find way didnt include detail,0
get gandhipuram walk cross cut road right side ltgt street road turn first right,0
great new offer double min double txt best orange tariff get latest camera phone free call mobileupd free stoptxt tc,1
think ive fixed send test message,0
consider wall bunker shit important never play peaceful guess place high enough dont matter,0
today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good,0
aight text address,0
ok arm feeling weak cuz got shot go another time,0
awesome minute,0
new message please call,1
wanna gym harri,0
justbeen overa week since broke already brain going mush,0
specially selected receive pound award call line close cost ppm tc apply ag promo,1
joy father john john joy father u an th hav ltgt iq ti ia question try answer,0
nah im goin wrks j wot bout u,0
end might still vomit okay everything come,0
knew u slept v late yest wake late,0
spare power supply,0
sorry ill call later meeting,0
nd time tried contact u u prize claim easy call p per minute btnationalrate,1
met stranger choose friend long world stand friendship never end let friend forever gud nitz,0
lol thats different dont go trying find every real life photo ever took,0
taka lor wat time u wan come n look u,0
going dinnermsg,0
plan manage,0
keep safe need miss already envy everyone see real life,0
bull plan go floating ikea without care world live mess another day,0
free st week entry textpod chance win gb ipod cash every wk txt pod tscs wwwtextpodnet custcare,1
anything lor,0
reverse cheating mathematics,0
oh half hour much longer syria canada eh wow must get much work done day u extra time grin,0
im always looking excuse city,0
aathiwhere dear,0
carlos say hell mu ltgt minute,0
free entry weekly competition text word win tc wwwtxttowincouk,1
hard live chat pmin choose girl connect live call cheap chat uk biggest live service vu bcmwcnxx,1
ill leave around four ok,0
co lar im ba dao ok pm lor u never ask go ah said u would ask fri said u ask today,0
hows loverboy keep coming queen hmmm doesnt ache speak miss desparately,0
wats dear sleeping ah,0
lor ya go dinner together,0
wondar full flim,0
hey around ive got enough half ten owe,0
kkthis month kotees birthday know,0
wait bus stop aft ur lect lar dun c go get car come back n pick,0
send bec temple na,0
bot note oredi co juz rem got,0
plz tell an bslvyl sent via fullonsmscom,0
cancel cheyyamoand get money back,0
laptop take,0
hey dont go watch x men lunch haha,0
isnt frnd necesity life imagine urself witout frnd hwd u feel ur colleg watll u wth ur cell wat abt function thnk abt event espell cared missed amp irritated u wrd dearloving frnds wthout u cant live jst takecare goodmorning,0
family happiness,0
hmm bit piece lol sigh,0
hostbased idp linux system,0
thats good let thank god please complete drug lot water beautiful day,0
haha leg neck killing amigo hoping end night burn think could swing like hour,0
oh oh wasted den muz chiong sat n sun liao,0
couldnt say dying man feel sad go wanted know would probably gone late night,0
hahahause brain dear,0
meh thgt clash really ah dun mind dun seen lost weight gee,0
hey leave friday wait ask superior tell,0
yeah tote u wanna,0
new theory argument win situation loses person dont argue ur friend kick amp say im always correct,0
willing go apps class,0
gorgeous keep pix cumming thank,0
hello need posh bird chap user trial prod champneys put need address dob asap ta r,1
argh g spotty anyway thing remember research province sterling problemfree place looked,0
give sec think think,0
anyway seriously hit youre back otherwise light armand always shit andor vomiting,0
darren saying dat u meeting da ge den dun meet dinner co later u leave xy feel awkward den u meet lunch lor,0
sorry man accidentally left phone silent last night didnt check til got,0
ujhhhhhhh computer shipped address sandiago parantella lane wtf poop,0
merry christmas babe love ya kiss,0
thats said bad dat e gal know u wat u,0
playng door game gt racing phone lol,0
hav almost reached call unable connect u,0
send text well skype later,0
thats ebay might le elsewhere,0
valentine day special win quiz take partner trip lifetime send go pmsg rcvd custcare,1
currently message awaiting collection collect message call,1
ok many buy,0
abeg make profit start using get sponsor next event,0
ah well confuses thing doesnt thought friend maybe wrong thing already sort invited tho may come co money,0
got fujitsu ibm hp toshiba got lot model say,0
beautiful truth gravity read carefully heart feel light someone feel heavy someone leaf good night,0
havent got da topic yet rite,0
mro coming gym machan goodnight,0
sleepingand surfing,0
tell friend plan valentine day lturlgt,0
know dat feelin pete wuld get em nuther place nuther time mayb,0
sorry flaked last night shit seriously goin roommate tonight,0
sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife parent kidz friend n colleague screaming surprise waiting sofa naked,0
x course yr message messenger lik r sending,0
call use ur min call cast pmin mob vary service provided aom gbpmonth aom boxm er u stop age,1
wat r u,0
student solved cat question xam ltgt ltgt ltgt tell answer u r brilliantthingi got answr,0
got seventeen pound seven hundred ml hope ok,0
urgent please call abta complimentary spanish holiday cash await collection sae tc box po ez ppm,1
plane give month end,0
ok come n pick u engin,0
tension face smiling face waste face innocent face terror face cruel face romantic face lovable face decent face ltgt joker face,0
chk ur belovd m dict,0
well weather cali great complexity great need car move freely tax outrageous great place sad part missing home,0
movie theatre go watch unlimited movie pay,0
hope good week checking,0
good evening roger,0
juz remembered gotta bathe dog today,0
u think girl propose u today seing ur bloody funky shit fucking faceasssssholeeee,0
friend u stay fb chat,0
c movie juz last minute decision mah juz watch lar tot interested,0
take exam march,0
want finally lunch today,0
see half hour,0
infact happy new year seeing,0
entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went,0
free ring tone text polys every week get new tone yr wk,1
nan sonathaya soladha bos,0
may call later pls,0
urgent costa del sol holiday await collection call toclaim sae tc pobox stockport skxh costpm maxmins,1
hello love go day wish well fine babe hope find job prospect miss boytoy teasing kiss,0
literally bed like ltgt hour,0
wat time r going xins hostel,0
hello little party animal thought id buzz friend grin reminding loved send naughty adoring kiss,0
freeday sexy st george day pic jordantxt pic dont miss every wk saucy celeb pic c pocketbabecouk wk,1
taking half day leave bec well,0
yup thk cine better co need go plaza mah,0
two fundamental cool life walk like king walk like dont carewhoever king gud nyt,0
sorry datoday wont come playi driving clas,0
edison rightly said fool ask question wise man answer know u speechless viva gmgngegnt,0
hmv bonus special pound genuine hmv voucher answer easy question play send hmv infowwwpercentrealcom,1
u make fb list,0
collect valentine weekend paris inc flight hotel prize guaranteed text paris wwwrtfsphostingcom,1
found enc ltgt,0
dad wanted talk apartment got late start omw,0
urgent trying contact last weekend draw show u prize guaranteed call claim code k valid hr p pm,1
u ever get song stuck head reason wont go away til u listen like time,0
oh k kbut big hitteranyway good,0
dunno lei thk mum lazy go neva ask yet,0
good afternoon boytoy go walking day get police abstract still wake miss babe,0
juz go google n search qet,0
mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update orstoptxt,1
die e toot fringe,0
start sending blackberry torch nigeria find buyer melike month tell dad buy bb anyone oh,0
noi got rumour going buy apartment chennai,0
cool shall go see go tip anyway home got something drop later let go town tonight maybe mum take u,0
shes good wondering wont say hi shes smiling coping long distance,0
alright youre sure let know youre leaving,0
xmas reward waiting computer randomly picked loyal mobile customer receive reward call,1
sexy single waiting text age followed gender wither f egf gay men text age followed g egg,1
nvm im going wear sport shoe anyway im going late leh,0
happy saying,0
p alfie moon child need song ur mob tell ur m txt tone charity nokias poly charity polys zed profit charity,1
per request maangalyam alaipayuthe set callertune caller press copy friend callertune,0
sorry ill call later meeting thing related trade please call arul ltgt,0
message free welcome new improved sex dogging club unsubscribe service reply stop msgsp,1
usual u call ard smth,0
lol oh got friend dog,0
ft good combination,0
plz note anyone calling mobile co amp asks u type ltgt ltgt disconnect callcoz iz attempt terrorist make use sim card itz confirmd nokia n motorola n verified cnn ibn,0
youdoing later sar xxx,0
part checking iq,0
reach ur home ltgt minute,0
kkwhat detail want transferacc enough,0
yes princess want please every night wish command,0
tried contact response offer new nokia fone camcorder hit reply call delivery,1
mon okie lor haha best cheap n gd food la ex oso okie depends whether wana eat western chinese food den u prefer,0
hey pay salary de ltgt,0
watching cartoon listening music amp eve go temple amp church u,0
freemessage jamsterget crazy frog sound poly text mad real text mad crazy sound gbpweek tc apply,1
horrible u eat mac eat u forgot abt already rite u take long reply thk toot b b prepared wat shall eat,0
hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,0
eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkentp,1
nice new shirt thing wear nudist themed mu,0
information ikea spelled cap yelling thought left sitting bed among mess came said going got home class please dont try bullshit make want listen le,0
little difficult simple way enter place,0
aiyah wait lor u entertain hee,0
think could stop like hour roommate looking stock trip,0
new address applespairsall malarky,0
cool like swimming pool jacuzzi house,0
dont show far put new picture facebook,0
wow love sooo much know barely stand wonder day go well love think miss,0
alright ill head minute text meet,0
r home come within min,0
hi mom might back later ltgt,0
first time history need comfort luxury sold price india onionrs ltgt petrolrs ltgt beerrs ltgt shesil ltgt,0
time u get,0
multimedia message email,0
yeah fact asked needed anything like hour ago much,0
ki send ltgt min,0
dont thnk wrong calling u,0
armand say get as epsilon,0
sorry battery died yeah im,0
call youcarlos isare phone vibrate acting might hear text,0
pain urination thing else,0
way home long dry spell season would,0
aathiwhere dear,0
tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria le expensive much le expensive unless getting citizen rate new zealand,0
maybe find something else instead,0
hi theyre keen go kind feel shouldnt go tomo dont mind,0
wot u wanna missy,0
yessura sun tvlol,0
v fan,0
lol trying make day little interesting,0
uworld site buying qbank buying self assessment also,0
still got lesson sch,0
know old dom told yesterday name roger got touch last night want meet today pm,0
aight close still around alexs place,0
hoping enjoyed game yesterday sorry ive touch pls know fondly bein thot great week abiola,0
let make saturday monday per convenience,0
didnt get ur full msgsometext missing send,0
dont wait til least wednesday see get,0
hi princess thank pic pretty,0
btw regarding really try see anyone else th guy commit random dude,0
hi darlin im missin u hope good time u back time u give call home jess xx,0
haha hope hear receipt sound gd luck,0
babe im answering cant see maybe youd better reboot ym got photo great,0
wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem,0
u wan haf lunch im da canteen,0
excellent ready moan scream ecstasy,0
b thursday,0
heygreat dealfarm tour pm pax deposit may,0
got arrested possession shit lttimegt pm,0
god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaidthis friend u,0
hey sexy bun day word morning ym think,0
noe specify da domain nusstu still sch,0
sm ac sun post helloyou seem cool wanted say hi hi stop send stop,1
got message ignoring yes shopping,0
photoshop make computer shut,0
hey tmr meet bugis,0
single single answer fighting plus said broke didnt reply,0
awesome lemme know whenever youre around,0
sir hope day going smoothly really hoped wont bother bill cant settle month extra cash know challenging time also let know,0
hows favourite person today r u workin hard couldnt sleep last nite nearly rang u,0
realize year well thousand old lady running around tattoo,1
dont gimme lip caveboy,0
sorry ill call later,0
k marrow coming class,0
yes completely formclark also utter waste,0
freemsg fancy flirt reply date join uk fastest growing mobile dating service msg rcvd p optout txt stop reply date,1
please da call mistake side sorry da pls da goto doctor,0
welcome select service added benefit call specially trained advisor free mobile dialling,1
free polyphonic ringtone text super get free poly tone week sn pobox nr z subscription pw,1
honey boo im missing u,0
congratulation u claim vip row ticket c blu concert november blu gift guaranteed call claim tscs wwwsmsconet costmax,1
somebody set website play hold em using eve online spacebucks,0
havent eaten day im sitting staring juicy pizza cant eat med ruining life,0
sent like,0
gr poly tone mob direct u rply poly title eg poly breathe title crazyin sleepingwith finest ymca getzedcouk poboxowwq p,1
came look flat seems ok away alot wiv work got woman coming,0
im sure still available though,0
reply win weekly professional sport tiger wood play send stop end service,1
sure stomach,0
helloooo wake sweet morning welcome enjoy day full joy gud mrng,0
agree stop thinkin ipad please ask macho question,0
fri ah okie lorgoin drivin den go shoppin tt,0
dear reach,0
tot u outside co darren say u come shopping course nice wat jus went sim lim look mp player,0
thanx e brownie v nice,0
aight latest probably closer jay tyler two trip,0
looking forward sex cuddling two sleep,0
u hiding stranger,0
trying figure im suppose see couple different people week said wed get together didnt set date,0
hey sexy bun told adore loverboy hope remember thank sister law meatball grin love babe,0
decide faster co si going home liao,0
mine like fr china noisy,0
yes glad made,0
place man,0
urgent nd attempt contact uu call b tcsbcmwcnxxcallcostppmmobilesvary max,1
princess,0
shes fine difficulty phone work mine pls send another friend request,0
thanks hope good day today,0
k k sm chat,0
boy love u grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli mutai eerulli kodthini grl love u kano,0
picking various point going yeovil motor project hour u take home max easy,0
yo guess dropped,0
polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friend ptone reply hl info,1
well im gonna finish bath goodfine night,0
good morning plz call sir,0
dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year,1
let know contact ive settled room let know ok,0
yo trip got postponed still stocked,0
back bit long co accident divert via wadebridgei brilliant weekend thanks speak soon lot love,0
hey congrats u id luv ive go home,0
regret inform u nh made mistakeu never actually bornplease report yor local hospital b terminatedwe r sorry inconvenience,0
good time nice something bit different weekend change see ya soon,0
please charge mobile get morning,0
appt lttimegt fault u dont listen told u twice,0
r going send,0
camera awarded sipix digital camera call fromm landline delivery within day,1
sign maturity start saying big thing actually start understanding small thing nice evening bslvyl,0
hi msg meim office,0
yo know anyone ltgt otherwise able buy liquor guy flaked right dont get hold somebody loko night,0
free entry weekly comp chance win ipod txt pod get entry std txt rate tc apply detail,1
fyi im gonna call sporadically starting like ltgt bc doin shit,0
finished work yet,0
kick new season wks free goal news ur mobile txt ur club name eg villa,1
hello baby get back mom setting computer filling belly go loverboy miss already sigh,0
ok lor,0
wondering others took,0
sure make sure know aint smokin yet,0
im already back home probably,0
yup lunch buffet u eat already,0
win cash prize prize worth,1
would really appreciate call need someone talk,0
good morning im suffering fever dysentry able come office today,0
dating service asked contact u someone shy call revealed pobox uz p,1
nope juz work,0
haha awesome ive u couple time alls coming,0
ill post lr class,0
cant pick phone right pls send message,0
yes princess going make moan,0
purity friendship two smiling reading forwarded messageits smiling seeing name gud evng musthu,0
oooh bed ridden ey thinking,0
stayin trouble strangersaw dave day he sorted nowstill bloke u gona get girl mrur mum still think get getha,0
dun wear jean lor,0
ok another number,0
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0
pls dont play others life,0
hi elaine today meeting confirmed,0
tell rob mack gf theater,0
happy baby alright take job hope fine send kiss make smile across sea kiss kiss,0
download clear movie dvd copy,0
im awake oh whats,0
hurry ive weeddeficient like three day,0
yes started send request make pain came back im back bed double coin factory gotta cash nitros,0
actually mobile full msg work online need send ltgt sent msg wil explain u later,0
ok,0
oh ho first time u use type word,0
something u ate,0
valentine huh proof fb page ugh im glad really didnt watch rupaul show tool,0
cant keep talking people sure pay agree price pls tell want really buy much willing pay,0
help u swoop picking u wherever ur bird r meeting u want,0
know u mean king havin credit im goinbed night night sweet onlymore sleep,0
also know lunch menu da know,0
weightloss girl friend make load money ebay something give thanks god,0
friendship poem dear dear u r near hear dont get fear live cheer tear u r always dear gud ni,0
please tell special stock talking,0
wait msg ltgt min,0
important information orange user today lucky dayfind log onto httpwwwurawinnercom there fantastic surprise awaiting,1
want new video phone anytime network min text five pound per week call reply delivery tomorrow,1
whatever juliana whatever want,0
nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollar got removed bank differ charge also differbe sure trust ja person sending account detail co,0
like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor,0
call get chance plz lt,0
goodnight sleep well da please take care pa please,0
okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
mobile mths update free orange latest colour camera mobile unlimited weekend call call mobile upd freefone stoptxt,1
hoping would send message rent due dont enough reserve completely gone loan need hoping could balance ltgt way could get till mid march hope pay back,0
yes innocent fun,0
anyway many good evening u,0
many time lose best one bcoz,0
keep seeing weird shit bein woah realising actually reasonable im oh,0
outside office take,0
like personal sized,0
alright thanks advice enjoy night ima try get sleep,0
lol ok ill try send warned sprint dead slow youll prolly get tomorrow,0
friendship poem dear dear u r near hear dont get fear live cheer tear u r always dear gud ni,0
bognor splendid time year,0
went project centre,0
thinkin someone good drug,0
easy ahsen got selected mean good,0
day say cut ur hair paragon called hair sense noe much hair cut,0
hi yijue meet u tmr,0
aight fuck ill get later,0
hi juan im coming home fri hey course expect welcome party lot present ill phone u get back load love nicky x x x x x x x x x,0
awesome gonna soon later tonight,0
emigrated something ok maybe bit hopeful,0
yes thats u texted pshewmissing much,0
yup bathe liao,0
u wake already thanx e tau sar piah quite nice,0
get step outta way congrats,0
oh ki think wi nz player unsold,0
fact youre cleaning show know im upset priority constantly want need,0
feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day,0
k want u come,0
theoretically yeah could able come,0
long beach lor expected u dinner,0
im leaving house,0
urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt l aj,1
hicts employee,0
pick bout ish time going,0
aah cuddle would lush id need lot tea soup kind fumbling,0
hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausagelove jen xxx,0
dear subscriber ur draw gift voucher b entered receipt correct an elvis presley birthday txt answer,1
watch lor saw swatch one thk quite ok ard need nd opinion leh,0
hi jess dont know work call u im home eve xxx,0
taco raja burrito right,0
monthly amount terrible pay anything till month finishing school,0
oh god im almost home,0
parent kidz friend n colleague screaming surprise waiting sofa naked,0
way school pls send ashleys number,0
im gloucesterroad uup later,0
phone weirdest auto correct,0
double min txts orange price linerental motorola sonyericsson btooth freenokia free call mobileupd oroptouthvd,1
ok take ur time n enjoy ur dinner,0
see christmassy,0
miss call miss call khelate kintu opponenter miss call dhorte lage thats rule one great phone receiving quality win,0
hey next sun there basic yoga course bugis go pilate intro next sat tell time r free,0
,0
yeah dont go bed ill back midnight,0
boy made fun today ok problem sent one message fun,0
sorry ill call later,0
today accept dayu accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,0
screaming mean shouting,0
waiting call sir,0
im home doc gave pain med say everything fine,0
raviyog peripheral bhayandar east,0
jus reached home go bathe first si using net tell u finish k,0
ya came ago,0
took tablet reaction morning,0
im wondering right,0
come right ahmad,0
good morning repair shopthe reason im hour,0
ok din get ur msg,0
urgent call landline complimentary tenerife holiday cash await collection sae tc box hp yf ppm,1
pls go ahead watt wanted sure great weekend abiola,0
specially selected receive award call line close cost ppm tc apply ag promo,1
new year plan,0
guaranteed cash prize claim yr prize call customer service representative ampm cost p,1
yes see ya dot,0
shore takin bus,0
ya toldshe asking wats matter,0
hi ibh customer loyalty offer new nokia mobile txtauctiontxt wordstart get nowt,1
hello hello hi lou sorry took long reply left mobile friend lancaster got bak neway im sorry couldnt make ur bday hun,0
online transaction,0
sense foot penis,0
wuld without baby thought alone mite break dont wanna go crazy everyboy need lady xxxxxxxx,0
tirupur call da,0
well know z take care worry,0
dunno dad said coming home bring u lunch yup go w u lor call u reach school lor,0
hey mate spoke mag people deliver end month deliver th sept talk later,0
hope text meet smiling let text give reason smile beautiful day,0
babe love cover face kiss,0
wake ltgt morning,0
unbelievable faglord,0
pocked,0
gift trying get throw cliff something,0
youll never believe actually got taunton wow,0
heard u call night knickers make beg like u last time xx luv nikiyunet,1
k tell anything,0
wont believe true incredible txts reply g learn truly amazing thing blow mind ofwd ptxt,1
much buzy,0
sindu got job birla soft,0
well great weekend,0
ur si,0
gonna let know co come bak holiday day coming dontgettext number,0
hello damn christmas thing think decided keep mp doesnt work,0
drug able eat,0
happen tell truth,0
fear fainting housework quick cuppa,0
r giving second chance rahul dengra,0
gentle princess make sweet gentle love,0
call tell infront call,0
someone smoke every time ive smoked last two week calling texting wanted smoke,0
looked addie go back monday suck,0
aight pick open tonight,0
call time job today ok umma ask speed,0
shes fine sends greeting,0
fine thanks,0
nothing splwat abt u whr ru,0
oh u must taken real valentine shopping first,0
gd got free ice cream oso wan,0
bloody hell cant believe forgot surname mr ill give u clue spanish begin,0
dude go sup,0
da vijay going talk jaya tv,0
also hi wesley howve,0
ill ltgt ok,0
much gave morning,0
blank blank wat blank lol,0
going bed prin,0
thought put back box,0
sun anti sleep medicine,0
good luck draw take place th feb good luck removal send stop customer service,1
please dont say like hi hi hi,0
found diff farm shop buy cheese way back call,0
prefer free day tues wed fri oso ask workin lor,0
going wipro interview today,0
nationwide auto centre something like newport road liked,0
rightio well arent bright early morning,0
sitting ard nothing lor u leh busy w work,0
ok,0
hello good week fancy drink something later,0
im nt goin got somethin unless meetin dinner lor haha wonder go ti time,0
sim subscriber selected receive bonus get delivered door txt word ok claim pmsg exp apr,1
e best ur exam later,0
nice day dear,0
wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop,1
juz havent woke bit blur blur dad went liao cant cum oso,0
world running stillmaybe feeling sameso itor admiti madthen correctionor let call lifeand keep running worldmay u r also runninglets run,0
thanks vote sing along star karaoke mobile free link reply sing,1
didnt mean post wrote like many time ive ritten stuff let sit feeling time angry left hit send stop wasnt checked phone got car wasnt said didnt sleep bored wouldnt time clean fold laundry etc least make bed,0
congratulation ur awarded either yr supply cd virgin record mystery gift guaranteed call tscs wwwsmsconet pm approx min,1
rajipls favour pls convey birthday wish nimya pls today birthday,0
u still painting ur wall,0
yeah sure thing mate haunt got stuff sorted im going sound anyway promoting hex way dont know number joke,0
late,0
gd luck ur exam,0
getting back home,0
ooh got im gonna start belly dancing moseley wed u want join cafe,0
im guy browsin compulsory,0
rtking pro video club need help inforingtonekingcouk call must club credit redeemable wwwringtonekingcouk enjoy,1
wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
yup remb think book,0
place man,0
also didnt get na hi hi hi hi hi,0
money wining number wot next,1
uncle boye need movie oh guide plus know torrent particularly legal system slowing gr day plus started co dont meet online honey moon,0
need lar go engin co si art today,0
wonder youll get text,0
spend day waiting ideal path appear front u forget path made walking waiting goodnight,0
happy birthday may ur dream come true,0
u nokia plus free digital camera u get u win free auction take part send nokia poboxtcrw,1
life never much fun great came made truly special wont forget enjoy one gbpsms,1
vote wherever heart guide,0
wats da decision,0
hot n horny willing live local text reply hear strt back p per msg netcollex ltdhelpdesk reply stop end,1
unni thank dear rechargerakhesh,0
pls clarify back open return ticket preponed go back kerala,0
coughing nothing,0
think far find check google map place dorm,0
good afternon love today hope good maybe interview wake miss babe passionate kiss across sea,0
ok feel like john lennon,0
pick drop carso problem,0
congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wcnxx,1
didnt u call lunch,0
went fast asleep deartake care,0
come u got nothing,0
u ask next sat make im ok lor,0
hey galsu wanna meet dinner nte,0
lookatme thanks purchase video clip lookatme youve charged p think better send video mmsto,1
oh fuck juswoke bed boatin dock slept wid year old spinout giv u da gossip lr xxx,0
notice like looking shit mirror youre turning right freak,0
havent mu ask u st wat meet lunch den u n meet already lor u wan go ask da ge st confirm w asap,0
gimme ltgt minute ago,0
ok anybody asks abt u tel themp,0
sm auction brand new nokia auction today auction free join take part txt nokia,1
come guoyang go n tell u told,0
also cbe pay,0
nokia tone ur mob every week txt nok st tone free get txtin tell ur friend ptone reply hl info,1
u goin nite,0
sir receive account another hr time sorry delay,0
joy father john john name joy father mandan,0
thanks ringtone order reference number x mobile charged tone arrive please call customer service,1
lol yep yesterday already got fireplace another icon sitting,0
babe lost try rebooting,0
k much th fifty,0
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,0
make cry stuff happens top everything else push edge dont underdtand often cry sorry sorry life,0
smile right go world wonder smiling think crazy keep away grin,0
yo come carlos soon,0
take like noon,0
pansy youve living jungle two year driving worried,0
jus came back fr lunch wif si u leh,0
got hella gas money want go grand nature adventure galileo little bit,0
cmon babe make horny turn txt fantasy babe im hot sticky need reply cost cancel send stop,1
december mobile mths entitled update latest colour camera mobile free call mobile update co free,1
finished class,0
hiya u like hlday pic looked horrible took mo hows camp amrca thing speak soon serena,0
nd time tried contact u u pound prize claim easy call p per min btnationalrate,1
lifted hope offer money need especially end month approach hurt studying anyways gr weekend,0
e admin building might b slightly earlier ill call u im reaching,0
day kick euro u kept date latest news result daily removed send get txt stop,1
going thru different feelingwavering decision coping individualtime heal everything believe,0
